ああ言う　　　　　　　　　　　　　　　　ああいう　　　　　　　　　　　　　　　　,R  .     ,
明け初める　　　　　　　　　　　　　　　あけそめる　　　　　　　　　　　　　　　,D 1.   M ,
開けたてする　　　　　　　　　　　　　　あけたてする　　　　　　　　　　　　　　,D 4.   I ,
開けっ放す　　　　　　　　　　　　　　　あけっぱなす　　　　　　　　　　　　　　,D S.   I ,
あげつらう　　　　　　　　　　　　　　　あげつらう　　　　　　　　　　　　　　　,D W.  NI ,
上げ止まる　　　　　　　　　　　　　　　あげどまる　　　　　　　　　　　　　　　,D R.   I ,
朱に染まる　　　　　　　　　　　　　　　あけにそまる　　　　　　　　　　　　　　,D R.     ,
開け放す　　　　　　　　　　　　　　　　あけはなす　　　　　　　　　　　　　　　,D S.   I ,
開け放つ　　　　　　　　　　　　　　　　あけはなつ　　　　　　　　　　　　　　　,D T.   I ,
明け放れる　　　　　　　　　　　　　　　あけはなれる　　　　　　　　　　　　　　,D 1.   M ,
開け払う　　　　　　　　　　　　　　　　あけはらう　　　　　　　　　　　　　　　,D W.   I ,
開け広げる　　　　　　　　　　　　　　　あけひろげる　　　　　　　　　　　　　　,D 1.   I ,
明ける　　　　　　　　　　　　　　　　　あける　　　　　　　　　　　　　　　　　,D 1.   M ,
空ける　　　　　　　　　　　　　　　　　あける　　　　　　　　　　　　　　　　　,D 1.   I ,
開ける　　　　　　　　　　　　　　　　　あける　　　　　　　　　　　　　　　　　,D 1.   I ,
揚げる　　　　　　　　　　　　　　　　　あげる　　　　　　　　　　　　　　　　　,D 1.   I ,
上げる　　　　　　　　　　　　　　　　　あげる　　　　　　　　　　　　　　　　　,D 1.   I ,
挙げる　　　　　　　　　　　　　　　　　あげる　　　　　　　　　　　　　　　　　,D 1.   I ,
明け渡しする　　　　　　　　　　　　　　あけわたしする　　　　　　　　　　　　　,D 4.   I ,
明け渡す　　　　　　　　　　　　　　　　あけわたす　　　　　　　　　　　　　　　,D S.   I ,
顎が落ちる　　　　　　　　　　　　　　　あごがおちる　　　　　　　　　　　　　　,D 1.  P  ,
顎が出る　　　　　　　　　　　　　　　　あごがでる　　　　　　　　　　　　　　　,D 1.     ,
顎が外れる　　　　　　　　　　　　　　　あごがはずれる　　　　　　　　　　　　　,D 1.  N  ,
顎が張る　　　　　　　　　　　　　　　　あごがはる　　　　　　　　　　　　　　　,D R.     ,
顎が干上がる　　　　　　　　　　　　　　あごがひあがる　　　　　　　　　　　　　,D R.  N  ,
憧れる　　　　　　　　　　　　　　　　　あこがれる　　　　　　　　　　　　　　　,D 1.   I ,
憧れを抱く　　　　　　　　　　　　　　　あこがれをいだく　　　　　　　　　　　　,D K.  P  ,
