ああ言う　　　　　　　　　　　　　　　　ああいう　　　　　　　　　　　　　　　　,R  .     ,
出向する　　　　　　　　　　　　　　　　しゅっこうする　　　　　　　　　　　　　,D 4.   I ,
熟考する　　　　　　　　　　　　　　　　じゅっこうする　　　　　　　　　　　　　,D 4.   I ,
出国する　　　　　　　　　　　　　　　　しゅっこくする　　　　　　　　　　　　　,D 4.   I ,
出獄する　　　　　　　　　　　　　　　　しゅつごくする　　　　　　　　　　　　　,D 4.   M ,
出国する　　　　　　　　　　　　　　　　しゅつごくする　　　　　　　　　　　　　,D 4.     ,
出庫する　　　　　　　　　　　　　　　　しゅっこする　　　　　　　　　　　　　　,D 4.   I ,
述作する　　　　　　　　　　　　　　　　じゅっさくする　　　　　　　　　　　　　,D 4.   I ,
出札する　　　　　　　　　　　　　　　　しゅっさつする　　　　　　　　　　　　　,D 4.   I ,
出産する　　　　　　　　　　　　　　　　しゅっさんする　　　　　　　　　　　　　,D 4.   M ,
出資する　　　　　　　　　　　　　　　　しゅっしする　　　　　　　　　　　　　　,D 4.   I ,
出仕する　　　　　　　　　　　　　　　　しゅっしする　　　　　　　　　　　　　　,D 4.   I ,
出社する　　　　　　　　　　　　　　　　しゅっしゃする　　　　　　　　　　　　　,D 4.   I ,
出生する　　　　　　　　　　　　　　　　しゅっしょうする　　　　　　　　　　　　,D 4.   M ,
出場する　　　　　　　　　　　　　　　　しゅつじょうする　　　　　　　　　　　　,D 4.   I ,
出所する　　　　　　　　　　　　　　　　しゅっしょする　　　　　　　　　　　　　,D 4.   I ,
出陣する　　　　　　　　　　　　　　　　しゅつじんする　　　　　　　　　　　　　,D 4.   I ,
出水する　　　　　　　　　　　　　　　　しゅっすいする　　　　　　　　　　　　　,D 4.   M ,
出世争いする　　　　　　　　　　　　　　しゅっせあらそいする　　　　　　　　　　,D 4.   M ,
出精する　　　　　　　　　　　　　　　　しゅっせいする　　　　　　　　　　　　　,D 4.  P  ,
出生する　　　　　　　　　　　　　　　　しゅっせいする　　　　　　　　　　　　　,D 4.   M ,
出征する　　　　　　　　　　　　　　　　しゅっせいする　　　　　　　　　　　　　,D 4.     ,
出精値引する　　　　　　　　　　　　　　しゅっせいねびきする　　　　　　　　　　,D 4.   I ,
出席する　　　　　　　　　　　　　　　　しゅっせきする　　　　　　　　　　　　　,D 4.  PI ,
出世する　　　　　　　　　　　　　　　　しゅっせする　　　　　　　　　　　　　　,D 4.   I ,
出世払いする　　　　　　　　　　　　　　しゅっせばらいする　　　　　　　　　　　,D 4.   I ,
出船する　　　　　　　　　　　　　　　　しゅっせんする　　　　　　　　　　　　　,D 4.     ,
出走する　　　　　　　　　　　　　　　　しゅっそうする　　　　　　　　　　　　　,D 4.   I ,
出訴する　　　　　　　　　　　　　　　　しゅっそする　　　　　　　　　　　　　　,D 4.     ,
出退社する　　　　　　　　　　　　　　　しゅったいしゃする　　　　　　　　　　　,D 4.     ,
出来する　　　　　　　　　　　　　　　　しゅったいする　　　　　　　　　　　　　,D 4.   M ,
出題する　　　　　　　　　　　　　　　　しゅつだいする　　　　　　　　　　　　　,D 4.   I ,
出立する　　　　　　　　　　　　　　　　しゅったつする　　　　　　　　　　　　　,D 4.   I ,
出炭する　　　　　　　　　　　　　　　　しゅったんする　　　　　　　　　　　　　,D 4.   M ,
術中に陥る　　　　　　　　　　　　　　　じゅっちゅうにおちいる　　　　　　　　　,D R.  N  ,
術中にはまる　　　　　　　　　　　　　　じゅっちゅうにはまる　　　　　　　　　　,D R.  N  ,
出張する　　　　　　　　　　　　　　　　しゅっちょうする　　　　　　　　　　　　,D 4.   I ,
出廷する　　　　　　　　　　　　　　　　しゅっていする　　　　　　　　　　　　　,D 4.   I ,
出店する　　　　　　　　　　　　　　　　しゅってんする　　　　　　　　　　　　　,D 4.   I ,
出展する　　　　　　　　　　　　　　　　しゅってんする　　　　　　　　　　　　　,D 4.   I ,
出頭する　　　　　　　　　　　　　　　　しゅっとうする　　　　　　　　　　　　　,D 4.   I ,
出動する　　　　　　　　　　　　　　　　しゅつどうする　　　　　　　　　　　　　,D 4.   I ,
出土する　　　　　　　　　　　　　　　　しゅつどする　　　　　　　　　　　　　　,D 4.   M ,
出入する　　　　　　　　　　　　　　　　しゅつにゅうする　　　　　　　　　　　　,D 4.     ,
出馬する　　　　　　　　　　　　　　　　しゅつばする　　　　　　　　　　　　　　,D 4.   I ,
出発する　　　　　　　　　　　　　　　　しゅっぱつする　　　　　　　　　　　　　,D 4.   I ,
出版する　　　　　　　　　　　　　　　　しゅっぱんする　　　　　　　　　　　　　,D 4.   I ,
出帆する　　　　　　　　　　　　　　　　しゅっぱんする　　　　　　　　　　　　　,D 4.   I ,
出費がかさむ　　　　　　　　　　　　　　しゅっぴがかさむ　　　　　　　　　　　　,D M.  N  ,
出費する　　　　　　　　　　　　　　　　しゅっぴする　　　　　　　　　　　　　　,D 4.   I ,
出費を抑える　　　　　　　　　　　　　　しゅっぴをおさえる　　　　　　　　　　　,D 1.  P  ,
出品する　　　　　　　　　　　　　　　　しゅっぴんする　　　　　　　　　　　　　,D 4.   I ,
出府する　　　　　　　　　　　　　　　　しゅっぷする　　　　　　　　　　　　　　,D 4.     ,
出兵する　　　　　　　　　　　　　　　　しゅっぺいする　　　　　　　　　　　　　,D 4.   I ,
出穂する　　　　　　　　　　　　　　　　しゅつほする　　　　　　　　　　　　　　,D 4.     ,
出没する　　　　　　　　　　　　　　　　しゅつぼつする　　　　　　　　　　　　　,D 4.   M ,
出奔する　　　　　　　　　　　　　　　　しゅっぽんする　　　　　　　　　　　　　,D 4.   I ,
出来する　　　　　　　　　　　　　　　　しゅつらいする　　　　　　　　　　　　　,D 4.   M ,
出猟する　　　　　　　　　　　　　　　　しゅつりょうする　　　　　　　　　　　　,D 4.   I ,
出漁する　　　　　　　　　　　　　　　　しゅつりょうする　　　　　　　　　　　　,D 4.   I ,
出力する　　　　　　　　　　　　　　　　しゅつりょくする　　　　　　　　　　　　,D 4.   I ,
