御用達　　　　　　　　　　　　　　　　　ごようたし　　　　　　　　　　　　　　　,N 1.     ,
御利益　　　　　　　　　　　　　　　　　ごりやく　　　　　　　　　　　　　　　　,N 1.     ,
最右翼　　　　　　　　　　　　　　　　　さいうよく　　　　　　　　　　　　　　　,C  .  P  ,
再稼働する　　　　　　　　　　　　　　　さいかどうする　　　　　　　　　　　　　,D 4.     ,
猜疑心　　　　　　　　　　　　　　　　　さいぎしん　　　　　　　　　　　　　　　,N 1.  N  ,
最恵国　　　　　　　　　　　　　　　　　さいけいこく　　　　　　　　　　　　　　,N 1.  P  ,
最高値　　　　　　　　　　　　　　　　　さいこうち　　　　　　　　　　　　　　　,N 1.  P  ,
最高潮　　　　　　　　　　　　　　　　　さいこうちょう　　　　　　　　　　　　　,N 1.  P  ,
歳時記　　　　　　　　　　　　　　　　　さいじき　　　　　　　　　　　　　　　　,N 1.     ,
最高値　　　　　　　　　　　　　　　　　さいたかね　　　　　　　　　　　　　　　,N 1.     ,
在来線　　　　　　　　　　　　　　　　　ざいらいせん　　　　　　　　　　　　　　,N 1.     ,
桜吹雪　　　　　　　　　　　　　　　　　さくらふぶき　　　　　　　　　　　　　　,N 1.     ,
匙加減　　　　　　　　　　　　　　　　　さじかげん　　　　　　　　　　　　　　　,N 1.     ,
雑排水　　　　　　　　　　　　　　　　　ざっぱいすい　　　　　　　　　　　　　　,N B.  N  ,
殺風景　　　　　　　　　　　　　　　　　さっぷうけい　　　　　　　　　　　　　　,N 1.  N  ,
茶飯事　　　　　　　　　　　　　　　　　さはんじ　　　　　　　　　　　　　　　　,N 1.     ,
五月雨　　　　　　　　　　　　　　　　　さみだれ　　　　　　　　　　　　　　　　,N 1.     ,
猿知恵　　　　　　　　　　　　　　　　　さるぢえ　　　　　　　　　　　　　　　　,N 1.  N  ,
猿真似　　　　　　　　　　　　　　　　　さるまね　　　　　　　　　　　　　　　　,C  .  N  ,
参政権　　　　　　　　　　　　　　　　　さんせいけん　　　　　　　　　　　　　　,N 1.     ,
残尿感　　　　　　　　　　　　　　　　　ざんにょうかん　　　　　　　　　　　　　,N 1.     ,
三枚目　　　　　　　　　　　　　　　　　さんまいめ　　　　　　　　　　　　　　　,N 1.     ,
残尿感　　　　　　　　　　　　　　　　　ざんようかん　　　　　　　　　　　　　　,N 1.  N  ,
直談判　　　　　　　　　　　　　　　　　じかだんぱん　　　　　　　　　　　　　　,N 1.     ,
時間差　　　　　　　　　　　　　　　　　じかんさ　　　　　　　　　　　　　　　　,N 1.     ,
自給率　　　　　　　　　　　　　　　　　じきゅうりつ　　　　　　　　　　　　　　,N 1.     ,
試金石　　　　　　　　　　　　　　　　　しきんせき　　　　　　　　　　　　　　　,C 1.  P  ,
自己流　　　　　　　　　　　　　　　　　じこりゅう　　　　　　　　　　　　　　　,C  .  N  ,
歯周病　　　　　　　　　　　　　　　　　ししゅうびょう　　　　　　　　　　　　　,N 1.     ,
自尊心　　　　　　　　　　　　　　　　　じそんしん　　　　　　　　　　　　　　　,N 1.  N  ,
自堕落　　　　　　　　　　　　　　　　　じだらく　　　　　　　　　　　　　　　　,C  .  N  ,
七福神　　　　　　　　　　　　　　　　　しちふくじん　　　　　　　　　　　　　　,N 1.  P  ,
下半期　　　　　　　　　　　　　　　　　しもはんき　　　　　　　　　　　　　　　,N 8.     ,
赤銅色　　　　　　　　　　　　　　　　　しゃくどういろ　　　　　　　　　　　　　,N 1.     ,
謝肉祭　　　　　　　　　　　　　　　　　しゃにくさい　　　　　　　　　　　　　　,N 1.     ,
終止符　　　　　　　　　　　　　　　　　しゅうしふ　　　　　　　　　　　　　　　,N 1.     ,
集大成する　　　　　　　　　　　　　　　しゅうたいせいする　　　　　　　　　　　,D 4.  P  ,
羞恥心　　　　　　　　　　　　　　　　　しゅうちしん　　　　　　　　　　　　　　,N 1.     ,
守護神　　　　　　　　　　　　　　　　　しゅごしん　　　　　　　　　　　　　　　,N 1.  P  ,
守銭奴　　　　　　　　　　　　　　　　　しゅせんど　　　　　　　　　　　　　　　,C  .  N  ,
出入国　　　　　　　　　　　　　　　　　しゅつにゅうごく　　　　　　　　　　　　,N 1.  N  ,
修羅場　　　　　　　　　　　　　　　　　しゅらば　　　　　　　　　　　　　　　　,N 1.  N  ,
小数点　　　　　　　　　　　　　　　　　しょうすうてん　　　　　　　　　　　　　,N 1.     ,
焦燥感　　　　　　　　　　　　　　　　　しょうそうかん　　　　　　　　　　　　　,N 1.  N  ,
松竹梅　　　　　　　　　　　　　　　　　しょうちくばい　　　　　　　　　　　　　,N 1.     ,
正念場　　　　　　　　　　　　　　　　　しょうねんば　　　　　　　　　　　　　　,C  .     ,
白装束　　　　　　　　　　　　　　　　　しろしょうぞく　　　　　　　　　　　　　,N 1.     ,
新幹線　　　　　　　　　　　　　　　　　しんかんせん　　　　　　　　　　　　　　,N 1.  P  ,
新機軸　　　　　　　　　　　　　　　　　しんきじく　　　　　　　　　　　　　　　,N 1.  P  ,
新境地　　　　　　　　　　　　　　　　　しんきょうち　　　　　　　　　　　　　　,N 1.  P  ,
蜃気楼　　　　　　　　　　　　　　　　　しんきろう　　　　　　　　　　　　　　　,N 1.     ,
親近感　　　　　　　　　　　　　　　　　しんきんかん　　　　　　　　　　　　　　,N 1.     ,
真骨頂　　　　　　　　　　　　　　　　　しんこっちょう　　　　　　　　　　　　　,C  .  P  ,
神通力　　　　　　　　　　　　　　　　　じんつうりき　　　　　　　　　　　　　　,N 1.  P  ,
新天地　　　　　　　　　　　　　　　　　しんてんち　　　　　　　　　　　　　　　,N 1.  P  ,
審美眼　　　　　　　　　　　　　　　　　しんびがん　　　　　　　　　　　　　　　,N 1.     ,
水面下　　　　　　　　　　　　　　　　　すいめんか　　　　　　　　　　　　　　　,C  .     ,
助太刀する　　　　　　　　　　　　　　　すけだちする　　　　　　　　　　　　　　,D 4.     ,
スマホ　　　　　　　　　　　　　　　　　すまほ　　　　　　　　　　　　　　　　　,N 1.     ,
政官財　　　　　　　　　　　　　　　　　せいかんざい　　　　　　　　　　　　　　,N 4.  P  ,
正攻法　　　　　　　　　　　　　　　　　せいこうほう　　　　　　　　　　　　　　,N 1.  P  ,
成功裏　　　　　　　　　　　　　　　　　せいこうり　　　　　　　　　　　　　　　,C  .  P  ,
生命線　　　　　　　　　　　　　　　　　せいめいせん　　　　　　　　　　　　　　,N 1.     ,
赤褐色　　　　　　　　　　　　　　　　　せきかっしょく　　　　　　　　　　　　　,N 1.     ,
赤裸々　　　　　　　　　　　　　　　　　せきらら　　　　　　　　　　　　　　　　,C  .  N  ,
世間体　　　　　　　　　　　　　　　　　せけんてい　　　　　　　　　　　　　　　,N 1.     ,
雪月花　　　　　　　　　　　　　　　　　せつげっか　　　　　　　　　　　　　　　,N 1.  P  ,
絶好調　　　　　　　　　　　　　　　　　ぜっこうちょう　　　　　　　　　　　　　,N 1.  P  ,
折衷案　　　　　　　　　　　　　　　　　せっちゅうあん　　　　　　　　　　　　　,N 1.     ,
瀬戸際　　　　　　　　　　　　　　　　　せとぎわ　　　　　　　　　　　　　　　　,N 1.  N  ,
先覚者　　　　　　　　　　　　　　　　　せんかくしゃ　　　　　　　　　　　　　　,N 1.  P  ,
善後策　　　　　　　　　　　　　　　　　ぜんごさく　　　　　　　　　　　　　　　,N 1.  P  ,
全個体　　　　　　　　　　　　　　　　　ぜんこたい　　　　　　　　　　　　　　　,N 1.  P  ,電池
千秋楽　　　　　　　　　　　　　　　　　せんしゅうらく　　　　　　　　　　　　　,N 1.     ,
前哨戦　　　　　　　　　　　　　　　　　ぜんしょうせん　　　　　　　　　　　　　,N 1.     ,
漸進的　　　　　　　　　　　　　　　　　ぜんしんてき　　　　　　　　　　　　　　,C  .     ,
善玉菌　　　　　　　　　　　　　　　　　ぜんだまきん　　　　　　　　　　　　　　,N B.     ,
先入観　　　　　　　　　　　　　　　　　せんにゅうかん　　　　　　　　　　　　　,N 1.  N  ,
千羽鶴　　　　　　　　　　　　　　　　　せんばづる　　　　　　　　　　　　　　　,N 1.  P  ,
千里眼　　　　　　　　　　　　　　　　　せんりがん　　　　　　　　　　　　　　　,N 1.  P  ,
前立腺　　　　　　　　　　　　　　　　　ぜんりつせん　　　　　　　　　　　　　　,N B.     ,
想定外　　　　　　　　　　　　　　　　　そうていがい　　　　　　　　　　　　　　,C 1.  N  ,
総本山　　　　　　　　　　　　　　　　　そうほんざん　　　　　　　　　　　　　　,N 1.     ,
俗世間　　　　　　　　　　　　　　　　　ぞくせけん　　　　　　　　　　　　　　　,N 1.     ,
即戦力　　　　　　　　　　　　　　　　　そくせんりょく　　　　　　　　　　　　　,N 1.  P  ,
素封家　　　　　　　　　　　　　　　　　そほうか　　　　　　　　　　　　　　　　,N 1.     ,
尊厳死する　　　　　　　　　　　　　　　そんげんしする　　　　　　　　　　　　　,D 4.     ,
大往生する　　　　　　　　　　　　　　　だいおうじょうする　　　　　　　　　　　,D 4.  P  ,
大金星　　　　　　　　　　　　　　　　　だいきんぼし　　　　　　　　　　　　　　,N 1.  P  ,
太公望　　　　　　　　　　　　　　　　　たいこうぼう　　　　　　　　　　　　　　,N 1.  P  ,
大黒柱　　　　　　　　　　　　　　　　　だいこくばしら　　　　　　　　　　　　　,N 1.  P  ,
太鼓判　　　　　　　　　　　　　　　　　たいこばん　　　　　　　　　　　　　　　,N 1.  P  ,
醍醐味　　　　　　　　　　　　　　　　　だいごみ　　　　　　　　　　　　　　　　,C 1.  P  ,
大車輪　　　　　　　　　　　　　　　　　だいしゃりん　　　　　　　　　　　　　　,C  .  P  ,
大上段　　　　　　　　　　　　　　　　　だいじょうだん　　　　　　　　　　　　　,N 1.     ,
大丈夫　　　　　　　　　　　　　　　　　だいじょうぶ　　　　　　　　　　　　　　,N 1.  P  ,
大大的　　　　　　　　　　　　　　　　　だいだいてき　　　　　　　　　　　　　　,N 1.  P  ,
大部分　　　　　　　　　　　　　　　　　だいぶぶん　　　　　　　　　　　　　　　,N 1.     ,数量名詞,数量　名詞
対立軸　　　　　　　　　　　　　　　　　だいりつじく　　　　　　　　　　　　　　,N 1.     ,
第六感　　　　　　　　　　　　　　　　　だいろっかん　　　　　　　　　　　　　　,N 1.     ,
多角化する　　　　　　　　　　　　　　　たかくかする　　　　　　　　　　　　　　,D 4.  P  ,
駄菓子　　　　　　　　　　　　　　　　　だがし　　　　　　　　　　　　　　　　　,N B.  N  ,
高飛車　　　　　　　　　　　　　　　　　たかびしゃ　　　　　　　　　　　　　　　,C  .  N  ,
駄洒落　　　　　　　　　　　　　　　　　だじゃれ　　　　　　　　　　　　　　　　,N 1.     ,
多数決　　　　　　　　　　　　　　　　　たすうけつ　　　　　　　　　　　　　　　,C  .     ,
立往生する　　　　　　　　　　　　　　　たちおうじょうする　　　　　　　　　　　,D 4.  N  ,
脱炭素　　　　　　　　　　　　　　　　　だつたんそ　　　　　　　　　　　　　　　,N  .  N  ,
立役者　　　　　　　　　　　　　　　　　たてやくしゃ　　　　　　　　　　　　　　,C  .  N  ,
玉虫色　　　　　　　　　　　　　　　　　たまむしいろ　　　　　　　　　　　　　　,C  .  N  ,
駄目元　　　　　　　　　　　　　　　　　だめもと　　　　　　　　　　　　　　　　,C  .     ,
単行本　　　　　　　　　　　　　　　　　たんこうぼん　　　　　　　　　　　　　　,N 1.     ,
断捨離する　　　　　　　　　　　　　　　だんしゃりする　　　　　　　　　　　　　,D 4.  P  ,
短水路　　　　　　　　　　　　　　　　　たんすいろ　　　　　　　　　　　　　　　,N 1.     ,
短兵急　　　　　　　　　　　　　　　　　たんぺいきゅう　　　　　　　　　　　　　,C  .  N  ,
断末魔　　　　　　　　　　　　　　　　　だんまつま　　　　　　　　　　　　　　　,C  .  N  ,
知恵袋　　　　　　　　　　　　　　　　　ちえぶくろ　　　　　　　　　　　　　　　,N 1.  P  ,
千鳥足　　　　　　　　　　　　　　　　　ちどりあし　　　　　　　　　　　　　　　,C  .  N  ,
血生臭い　　　　　　　　　　　　　　　　ちなまぐさい　　　　　　　　　　　　　　,K 1.  N  ,
乳離れする　　　　　　　　　　　　　　　ちばなれする　　　　　　　　　　　　　　,D 4.     ,
致命傷　　　　　　　　　　　　　　　　　ちめいしょう　　　　　　　　　　　　　　,C  .  N  ,
茶番劇　　　　　　　　　　　　　　　　　ちゃばんげき　　　　　　　　　　　　　　,N 1.     ,
長期戦　　　　　　　　　　　　　　　　　ちょうきせん　　　　　　　　　　　　　　,N 1.  N  ,
長広舌　　　　　　　　　　　　　　　　　ちょうこうぜつ　　　　　　　　　　　　　,N 1.  N  ,
長寿銭　　　　　　　　　　　　　　　　　ちょうじゅせん　　　　　　　　　　　　　,N 1.     ,
超能力　　　　　　　　　　　　　　　　　ちょうのうりょく　　　　　　　　　　　　,N 1.  P  ,
張本人　　　　　　　　　　　　　　　　　ちょうほんにん　　　　　　　　　　　　　,C  .     ,
千代紙　　　　　　　　　　　　　　　　　ちよがみ　　　　　　　　　　　　　　　　,N 1.     ,
