闇の中　　　　　　　　　　　　　　　　　やみのなか　　　　　　　　　　　　　　　,N  .  N  ,
悠久の時　　　　　　　　　　　　　　　　ゆうきゅうのとき　　　　　　　　　　　　,N 8.     ,
有終の美　　　　　　　　　　　　　　　　ゆうしゅうのび　　　　　　　　　　　　　,C  .  P  ,
宵の口　　　　　　　　　　　　　　　　　よいのくち　　　　　　　　　　　　　　　,N 8.     ,
欲の皮　　　　　　　　　　　　　　　　　よくのかわ　　　　　　　　　　　　　　　,N 1.  N  ,
横殴りの雨　　　　　　　　　　　　　　　よこなぐりのあめ　　　　　　　　　　　　,N 8.  N  ,
世の中　　　　　　　　　　　　　　　　　よのなか　　　　　　　　　　　　　　　　,N  .     ,
黄泉の国　　　　　　　　　　　　　　　　よみのくに　　　　　　　　　　　　　　　,N  .     ,
黄泉の世界　　　　　　　　　　　　　　　よみのせかい　　　　　　　　　　　　　　,N  .     ,
斂葬の儀　　　　　　　　　　　　　　　　れんそうのぎ　　　　　　　　　　　　　　,N 1.     ,
